


商品名称 ：铜                  2018-03-28,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,476521,-132582,期货公司  ,432824,-107,期货公司  ,436814,456,
非期货公司,1775,-562,非期货公司,7041,-80,非期货公司,3051,-643,
合约代码 ：cu1804                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,东证期货  ,7536,363,1,金瑞期货  ,11524,-316,1,中信期货  ,11190,-2852,
2,中信期货  ,5911,-2217,2,铜冠金源  ,4054,-171,2,五矿经易  ,6437,-271,
3,海通期货  ,5240,-1770,3,国贸期货  ,3774,178,3,金瑞期货  ,4185,-680,
4,铜冠金源  ,3157,50,4,中信期货  ,2410,-39,4,建信期货  ,4137,-353,
5,鲁证期货  ,2964,-1343,5,华安期货  ,2372,-19,5,国投安信  ,3965,676,
6,金瑞期货  ,2808,-1556,6,建信期货  ,2323,-148,6,中粮期货  ,3789,-29,
7,中银国际  ,2750,-685,7,国泰君安  ,2056,-426,7,海通期货  ,2897,-115,
8,国投安信  ,2413,-576,8,五矿经易  ,1941,184,8,国贸期货  ,2855,9,
9,上海中期  ,1922,-85,9,华泰期货  ,1820,-180,9,格林大华  ,2668,-452,
10,永安期货  ,1547,-326,10,南华期货  ,1467,11,10,中银国际  ,2512,20,
11,华泰期货  ,1439,278,11,海通期货  ,1457,-55,11,银河期货  ,1608,7,
12,建信期货  ,1235,286,12,中粮期货  ,1377,16,12,江海汇鑫  ,1596,0,
13,方正中期  ,1120,88,13,中信建投  ,1372,-30,13,一德期货  ,1498,-142,
14,申万期货  ,904,-560,14,新湖期货  ,1290,-229,14,鲁证期货  ,1497,-26,
15,五矿经易  ,903,-516,15,弘业期货  ,1282,-290,15,铜冠金源  ,1464,190,
16,国泰君安  ,890,99,16,兴业期货  ,1179,30,16,迈科期货  ,1283,-38,
17,中粮期货  ,821,-342,17,永安期货  ,1170,-1018,17,华安期货  ,1150,-17,
18,国富期货  ,800,-31,18,迈科期货  ,1071,-34,18,首创期货  ,1011,-3,
19,华安期货  ,754,180,19,一德期货  ,1055,-28,19,兴业期货  ,946,40,
20,宏源期货  ,743,117,20,方正中期  ,989,-234,20,永安期货  ,763,271,
合计,,45857,-8546,合计,,45983,-2798,合计,,57451,-3765,
合约代码 ：cu1805                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,28406,-9537,1,中信期货  ,10534,-355,1,五矿经易  ,10685,-2,
2,中信期货  ,20035,745,2,金瑞期货  ,9811,-242,2,中信期货  ,8505,-2250,
3,东证期货  ,16297,-255,3,国泰君安  ,7630,61,3,海通期货  ,8149,219,
4,国投安信  ,12157,-4742,4,永安期货  ,7094,217,4,永安期货  ,6694,-409,
5,中银国际  ,10947,-3468,5,国贸期货  ,5683,27,5,金瑞期货  ,5942,-204,
6,鲁证期货  ,10179,-1429,6,迈科期货  ,3138,-321,6,混沌天成  ,4888,-459,
7,上海中期  ,9000,-1212,7,云晨期货  ,3051,-13,7,中粮期货  ,3987,25,
8,铜冠金源  ,8019,-3400,8,铜冠金源  ,2944,527,8,铜冠金源  ,3931,348,
9,兴证期货  ,6961,-159,9,弘业期货  ,2875,-486,9,国投安信  ,3595,266,
10,国泰君安  ,5740,-2100,10,海通期货  ,2692,185,10,国贸期货  ,3331,233,
11,中辉期货  ,5415,-1525,11,国投安信  ,2502,-23,11,国富期货  ,3264,95,
12,华泰期货  ,5345,-901,12,中粮期货  ,2501,-167,12,建信期货  ,3166,193,
13,金瑞期货  ,4628,-1202,13,华安期货  ,2499,53,13,中银国际  ,3110,113,
14,永安期货  ,3906,-3915,14,建信期货  ,2459,-148,14,国泰君安  ,2975,-247,
15,同信久恒  ,3748,-2186,15,南华期货  ,2435,150,15,广发期货  ,2862,-439,
16,徽商期货  ,3711,-519,16,五矿经易  ,2367,-451,16,银河期货  ,2842,30,
17,方正中期  ,3702,-1421,17,银河期货  ,2288,-43,17,宏源期货  ,2645,261,
18,五矿经易  ,3665,972,18,方正中期  ,2105,-19,18,格林大华  ,2629,367,
19,国富期货  ,3170,-594,19,申万期货  ,2027,-123,19,东证期货  ,2366,-113,
20,银河期货  ,3123,-1337,20,英大期货  ,1972,10,20,中信建投  ,2322,10,
合计,,168154,-38185,合计,,78607,-1161,合计,,87888,-1963,
合约代码 ：cu1806                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,12675,-3324,1,金瑞期货  ,7983,670,1,中信期货  ,5165,1133,
2,东证期货  ,10328,-188,2,永安期货  ,5863,691,2,金瑞期货  ,4983,-137,
3,中信期货  ,7747,-3767,3,国贸期货  ,5086,23,3,永安期货  ,4817,535,
4,鲁证期货  ,6866,-1696,4,中信期货  ,4779,86,4,广发期货  ,4048,-90,
5,东海期货  ,5078,3603,5,方正中期  ,4598,-619,5,五矿经易  ,4022,102,
6,上海中期  ,5004,-508,6,弘业期货  ,3775,287,6,一德期货  ,3950,-49,
7,中银国际  ,3832,-1359,7,格林大华  ,3485,4,7,国投安信  ,3814,25,
8,同信久恒  ,3322,-1022,8,铜冠金源  ,2871,783,8,国富期货  ,3792,151,
9,铜冠金源  ,3265,-2977,9,国泰君安  ,2714,61,9,海通期货  ,3604,247,
10,五矿经易  ,3202,1668,10,国海良时  ,2396,17,10,混沌天成  ,3470,0,
11,方正中期  ,3144,810,11,银河期货  ,2015,23,11,宏源期货  ,3292,-19,
12,国投安信  ,3009,-1626,12,迈科期货  ,2011,475,12,瑞达期货  ,2917,298,
13,长江期货  ,2205,371,13,道通期货  ,1993,1951,13,同信久恒  ,2759,59,
14,道通期货  ,2037,1974,14,建信期货  ,1964,415,14,东海期货  ,2360,1930,
15,宏源期货  ,1945,216,15,一德期货  ,1952,48,15,兴证期货  ,2135,-279,
16,永安期货  ,1776,-1093,16,上海大陆  ,1897,79,16,国泰君安  ,1943,123,
17,中辉期货  ,1669,-955,17,新世纪    ,1869,53,17,格林大华  ,1925,-528,
18,国富期货  ,1582,66,18,云晨期货  ,1776,118,18,华泰期货  ,1815,150,
19,兴证期货  ,1367,-991,19,鲁证期货  ,1628,246,19,东亚期货  ,1804,-70,
20,新湖期货  ,1343,296,20,中粮期货  ,1620,37,20,中国国际  ,1562,13,
合计,,81396,-10502,合计,,62275,5448,合计,,64177,3594,
合约代码 ：cu1807                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,东证期货  ,2742,192,1,格林大华  ,10698,21,1,海通期货  ,4787,1,
2,鲁证期货  ,2269,-390,2,金瑞期货  ,4086,367,2,中信期货  ,3459,376,
3,海通期货  ,1963,-801,3,国泰君安  ,2251,0,3,混沌天成  ,2680,700,
4,方正中期  ,1834,732,4,方正中期  ,2104,717,4,方正中期  ,2092,795,
5,同信久恒  ,1775,-1176,5,弘业期货  ,1948,-93,5,宏源期货  ,2079,58,
6,中信期货  ,1756,-223,6,同信久恒  ,1488,225,6,国富期货  ,2001,-8,
7,上海中期  ,1728,4,7,兴证期货  ,1475,109,7,金瑞期货  ,1986,40,
8,一德期货  ,1207,1131,8,东吴期货  ,1182,203,8,格林大华  ,1702,0,
9,中银国际  ,1068,-260,9,五矿经易  ,1069,88,9,华泰期货  ,1366,212,
10,国投安信  ,1047,-356,10,银河期货  ,1059,-27,10,中金期货  ,1302,57,
11,混沌天成  ,760,700,11,国信期货  ,972,-21,11,永安期货  ,1279,31,
12,中辉期货  ,675,-517,12,新湖期货  ,638,0,12,通惠期货  ,1230,0,
13,铜冠金源  ,566,-902,13,兴业期货  ,570,129,13,一德期货  ,1221,1077,
14,金瑞期货  ,549,-153,14,光大期货  ,556,41,14,建信期货  ,1117,4,
15,华泰期货  ,545,-286,15,一德期货  ,533,108,15,五矿经易  ,1094,41,
16,申万期货  ,460,108,16,中信建投  ,502,0,16,中粮期货  ,1033,-41,
17,兴证期货  ,426,-417,17,鲁证期货  ,489,-12,17,兴业期货  ,905,77,
18,兴业期货  ,420,56,18,中钢期货  ,451,0,18,中钢期货  ,829,13,
